question,answer
"What is digital literacy?","Digital literacy refers to the ability to use digital technology, communication tools, and networks effectively. It includes skills like using computers, smartphones, and the internet safely and productively."
"How can I protect my online privacy?","To protect your online privacy: 1) Use strong, unique passwords 2) Enable two-factor authentication 3) Be careful what you share on social media 4) Use privacy settings 5) Keep your software updated 6) Use reputable antivirus software."
"What is cloud storage?","Cloud storage is a technology that allows you to store digital data (files, photos, videos) on remote servers accessed through the internet. Popular examples include Google Drive, Dropbox, and OneDrive. It enables easy access to your files from any device and helps with backup."
"How do I create a strong password?","A strong password should: 1) Be at least 12 characters long 2) Include uppercase and lowercase letters 3) Include numbers and special characters 4) Avoid personal information 5) Be unique for each account 6) Not use common words or patterns."
"What is two-factor authentication?","Two-factor authentication (2FA) is a security measure that requires two different forms of verification to access an account. Typically, this includes something you know (password) and something you have (like a code sent to your phone), making it much harder for hackers to gain access." 
"What is Wi-Fi?","Wi-Fi is a wireless way to connect your phone, computer, or TV to the internet without using cables."
"What is the internet?","The internet is a global network that lets you find information, watch videos, and talk to people online."
"What is email?","Email is like sending a digital letter from one person to another through the internet."
"What is a password?","A password is a secret word or code that helps keep your accounts safe and private."
"What is a smartphone?","A smartphone is a mobile phone that can access the internet, take photos, run apps, and more."
"How do I send an email?","Open your email app, tap ‘Compose’, write the message, enter the email address, and press ‘Send’."
"What is Google?","Google is a website where you can search for anything you want to know."
"How do I search something online?","Go to Google, type your question or topic, and press Enter to see results."
"What is an app?","An app is a small program on your phone or tablet that helps you do specific tasks like messaging or shopping."
"What is a browser?","A browser is a program like Chrome or Safari that helps you open and view websites."
"What is a link?","A link is clickable text or a picture that takes you to another webpage when you tap on it."
"What is Facebook?","Facebook is a social platform where you can connect with friends, share photos, and post updates."
"How do I video call someone?","You can use apps like WhatsApp, Zoom, or Google Meet to make a video call by pressing the video icon."
"What is WhatsApp?","WhatsApp is a free app that lets you send messages, voice notes, photos, and make video or voice calls."
"What is YouTube?","YouTube is a website where you can watch videos, listen to music, or learn new things."
"What is the cloud?","The cloud is online storage where your files, photos, and documents are saved and can be accessed from anywhere."
"What is downloading?","Downloading means saving something from the internet to your device like a photo, app, or document."
"What is uploading?","Uploading means sending a file or photo from your phone to a website or app."
"What is an update?","An update is a newer version of an app or system that fixes bugs or adds new features."
"What is a file?","A file is any saved item like a photo, video, document, or song on your phone or computer."
"What is a photo gallery?","The gallery is where all your photos and videos are stored and can be viewed on your device."
"How do I take a screenshot?","Press the power and volume-down buttons together to take a photo of your screen."
"What is a QR code?","A QR code is a square barcode you can scan using your phone to open a website or app quickly."
"How do I scan a QR code?","Open your camera app or scanner app, point it at the QR code, and tap the link that appears."
"What is an OTP?","An OTP (One-Time Password) is a code sent to your phone to verify your identity."
"Why do I need to update my phone?","Updates keep your phone secure, fix problems, and add new features."
"What is mobile data?","Mobile data lets your phone connect to the internet when you are not connected to Wi-Fi."
"How do I connect to Wi-Fi?","Go to Settings > Wi-Fi, select a network, enter the password, and tap Connect."
"What is a contact?","A contact is a saved name and phone number of a person you want to call or message."
"What is a screenshot?","A screenshot is a digital photo of what is currently showing on your screen."
"What is a spam email?","Spam emails are unwanted messages that often contain ads or scams—avoid clicking on them."
"How do I block someone on WhatsApp?","Open their chat, tap their name at the top, scroll down, and choose 'Block'."
"How do I make a folder?","On a computer or phone, tap or right-click on a blank space and select ‘New Folder’ to create one."
"What is Bluetooth?","Bluetooth is a way to wirelessly connect your phone to speakers, earphones, or other devices nearby."
"What is charging?","Charging is powering up your device by connecting it to electricity using a charger."
"What is a touch screen?","A touch screen lets you control your device by tapping or swiping directly on the display."
"What is a username?","A username is a name you use to log in or create an account on a website or app."
"How do I restart my phone?","Hold the power button, then choose 'Restart' or 'Reboot' from the menu."
"What is a pop-up?","A pop-up is a small window that suddenly appears on your screen, often with ads or alerts."
"What is AI?","AI stands for Artificial Intelligence, which means machines that can think or act like humans."
"What is a chatbot?","A chatbot is a computer program that talks with you like a person and helps answer questions or perform tasks."
"What is a virtual assistant?","A virtual assistant is an AI helper like Alexa, Siri, or Google Assistant that responds to your voice or text."
"What is machine learning?","Machine learning is a type of AI where computers learn from data and improve over time."
"What is an LLM?","LLM stands for Large Language Model, which is an AI trained on lots of text to understand and respond like a human."
"Is DigiBuddy an AI?","Yes, DigiBuddy is a friendly AI designed to help you understand and use technology easily."
"How do chatbots understand my question?","Chatbots use AI and language models to understand your words and give helpful replies."
"Can I trust AI with my questions?","Yes, trusted AI like DigiBuddy is safe and designed to protect your privacy while helping you."
"What can AI do for me?","AI can answer questions, help you use apps, remind you of tasks, translate languages, and much more!"
"What is the difference between AI and humans?","Humans think and feel, while AI is a tool created by humans to help with specific tasks using data."
